Nom,Raison sociale,SIREN,Segment,Adresse Toulouse,Gérant,Type dirigeant,Rôle,Nb établissements,Date création,SIREN holding
"PEE","SARL PEE",504683293,"Mode/Vêtements","5 BOULEVARD DE L'EMBOUCHURE 31200 TOULOUSE","",,"",1,2008-06-01,
"PEYROLIA","PEYROLIA",812898211,"Mode/Vêtements","9 RUE PEYROLIERES 31000 TOULOUSE","Coline Piechaud",physique,"Gérant",1,2015-08-15,
"PICTURE","RIDE PROJECT",828309252,"Mode/Vêtements","2 RUE DU FOURBASTARD 31000 TOULOUSE","Jean Mettra",physique,"Gérant",1,2017-04-14,
"PLATAX","PLATAX",450529557,"Mode/Vêtements","2 RUE DU COQ D'INDE 31000 TOULOUSE","",,"",2,2003-10-22,
"PLEATS PLEASE ISSEY MIYAKE","ISSEY MIYAKE EUROPE SA",316138635,"Mode/Vêtements","1 RUE CANTEGRIL 31000 TOULOUSE","Tempe Brickhill",physique,"Autre",4,1979-01-01,
"PLUCK DETAIL","ARRO",327337085,"Mode/Vêtements","1 RUE DU COQ D'INDE 31000 TOULOUSE","Andre Faussurier",physique,"Gérant",4,1983-05-01,
"PLUMETIS","PLUMETIS",840763288,"Mode/Vêtements","35 RUE DE LA DALBADE 31000 TOULOUSE","Audrey Derouard",physique,"Gérant",1,2018-07-01,
"POBIEDA","POBIEDA",831015748,"Mode/Vêtements","16 RUE SAINT ROME 31000 TOULOUSE","Svitlana Labau (yurevych)",physique,"Gérant",2,2017-06-20,
"PRESS ECO 31 PRESSING DU GRAND ROND","AQUO OC",797437100,"Mode/Vêtements","15 ALLEE DES SOUPIRS 31000 TOULOUSE","Francois Amalvy",physique,"Président de SAS",2,2013-10-01,
"PRINCESSES DU DESERT","PRINCESSES DU DESERT",483004594,"Mode/Vêtements","28 AVENUE ANTOINE DE SAINT EXUPERY 31400 TOULOUSE","",,"",1,2005-08-26,
"PRINCESSES ET VIOLETTES","PRINCESSES ET VIOLETTES",794987040,"Mode/Vêtements","41 RUE DES TOURNEURS 31000 TOULOUSE","",,"",1,2013-08-26,
"PULP STORE","PULP STORE",799291141,"Mode/Vêtements","26 RUE SAINTE URSULE 31000 TOULOUSE","",,"",1,2014-01-20,
"QUETZAL","QUETZAL",805369113,"Mode/Vêtements","38 RUE DU TAUR 31000 TOULOUSE","Silvana Charreun (sanz luciani)",physique,"Gérant",2,2014-10-03,
"RAINBOW FACTORY","RAINBOW FACTORY",484985288,"Mode/Vêtements","19 RUE PEYROLIERES 31000 TOULOUSE","Corinne Nin (collin)",physique,"Gérant",3,2005-10-15,
"RAZIKA CAFTAN","",900315961,"Mode/Vêtements","ETAGE 3 APPARTEMENT B31 3 RUE EVELYNE SULLEROT 31100 TOULOUSE","Razika Rahou",physique,"",1,2021-06-01,
"RECOVERY","RECOVERY PROJECT",940957483,"Mode/Vêtements","48 B RUE DE METZ 31000 TOULOUSE","Pierre Bauguil",physique,"Gérant",1,2025-02-13,
"RENDEZ-VOUS STORE - RDV","ANONYME",811236637,"Mode/Vêtements","6 RUE BOUQUIERES 31000 TOULOUSE","Marc Llorens",physique,"Gérant",5,2015-06-01,
"REVAPORTER","REVAPORTER",788512929,"Mode/Vêtements","15 RUE DU CANARD 31000 TOULOUSE","Sylvie Nkou",physique,"Gérant",1,2012-08-01,
"REVERIES SARL","REVERIES SARL",818210007,"Mode/Vêtements","2 RUE DES ARTS 31000 TOULOUSE","Chrystalla Theodoridou",physique,"Gérant",1,2016-01-27,
"RICE AND BEANS","RICE AND BEANS",498135318,"Mode/Vêtements","18 RUE CUJAS 31000 TOULOUSE","",,"",1,2007-06-22,
"RIP CURL","GLISSE & CO",534387113,"Mode/Vêtements","36 RUE DE REMUSAT 31000 TOULOUSE","Anthony Bariat",physique,"Gérant",1,2011-10-01,
"ROBE ELYSEE","ROBE ELYSEE",927564393,"Mode/Vêtements","8 BOULEVARD GRIFFOUL DORVAL 31400 TOULOUSE","Majda Qilaa",physique,"Président de SAS",2,2024-04-08,
"ROGER GERSON","",570701078,"Mode/Vêtements","26 RUE SAINT ROME 31000 TOULOUSE","Roger Gerson",physique,"",3,1957-01-01,
"ROND'LET","ROND'LET",791034945,"Mode/Vêtements","54 RUE DU FAUBOURG BONNEFOY 31500 TOULOUSE","Carole Dray (haziza)",physique,"Gérant",1,2013-02-01,
"ROSE","ROSE",844069948,"Mode/Vêtements","16 RUE MAURICE FONVIEILLE 31000 TOULOUSE","Marie-laure Bex",physique,"Président de SAS",1,2018-11-14,
"RUDYSTORE","",903861532,"Mode/Vêtements","46 BOULEVARD DES MINIMES 31200 TOULOUSE","Rudy Feret",physique,"",1,2021-10-05,
"RUL3S","RUL3S",920979796,"Mode/Vêtements","8 RUE JOSEPH GUEPIN 31400 TOULOUSE","Laurent Guitard",physique,"Président de SAS",1,2022-09-08,
"SA POMME","SA POMME",660802703,"Mode/Vêtements","31 RUE LAFAYETTE 31000 TOULOUSE","Anne Schlienger (felix)",physique,"Liquidateur",3,1966-01-01,
"SADIA","SADIA",918125394,"Mode/Vêtements","39 RUE DE BAYARD 31000 TOULOUSE","Sadia Belkelfa",physique,"Président de SAS",1,2022-07-20,
"SAINT JAMES","CAPUCINE",820831592,"Mode/Vêtements","24-26 24 RUE DE LA POMME 31000 TOULOUSE","Virginie Doublet (lecoq)",physique,"Gérant",1,2016-06-07,
"SALI SARL","SALI SARL",324397025,"Mode/Vêtements","36 RUE DE REMUSAT 31000 TOULOUSE","",,"",1,1982-02-01,
"SANTA FE","PALMA",380999664,"Mode/Vêtements","17 RUE SAINT ROME 31000 TOULOUSE","Marc Fridman",physique,"Liquidateur",5,1991-03-01,
"SARIC","SARIC",491259560,"Mode/Vêtements","13 RUE DES PENITENTS BLANCS 31000 TOULOUSE","Eric Lekaim",physique,"Gérant",2,2006-07-30,
"SARL ANDRIK","SARL ANDRIK",789487246,"Mode/Vêtements","59 RUE DE LA POMME 31000 TOULOUSE","Eric Kouby",physique,"Gérant",1,2012-11-15,
"SARL COOK","SARL COOK",424598381,"Mode/Vêtements","9 RUE D'AUBUISSON 31000 TOULOUSE","Lydia-mai Litte (tritsch)",physique,"Gérant",1,1999-10-01,
"SARL DCVD","SARL DCVD",521252585,"Mode/Vêtements","5 RUE OZENNE 31000 TOULOUSE","",,"",2,2010-04-05,
"SARL EMMA","SARL EMMA",387809213,"Mode/Vêtements","6 RUE DU REMPART VILLENEUVE 31000 TOULOUSE","",,"",1,1992-06-23,
"SARL FORT","SARL FORT",515276566,"Mode/Vêtements","APPT 280 16 RUE DU GENERAL HOCHE 31200 TOULOUSE","",,"",1,2009-11-01,
"SARL FRITEX (DOCKS CAVIAR)","SARL FRITEX",413863754,"Mode/Vêtements","1 RUE BAOUR LORMIAN 31000 TOULOUSE","Christophe Lehoux",physique,"Gérant",1,1997-09-01,
"SARL GAUFRETTE & CREATIONS","SARL GAUFRETTE & CREATIONS",490174190,"Mode/Vêtements","12 AVENUE DES MINIMES 31200 TOULOUSE","Sandrine Fraigneau (fraigneau)",physique,"Président de SAS",1,2006-06-12,
"SARL GUENOUN","SARL GUENOUN",324430586,"Mode/Vêtements","1 RUE DU FOURBASTARD 31000 TOULOUSE","Guy Guenoun",physique,"Président de SAS",2,1982-04-01,
"SARL LES CIGALES","SARL LES CIGALES",441927951,"Mode/Vêtements","42 RUE BOULBONNE 31000 TOULOUSE","Olivia Samson",physique,"Gérant",1,2002-05-03,
"SARL LES CUIRS DU SUD","SARL LES CUIRS DU SUD",419643291,"Mode/Vêtements","45 RUE DES TOURNEURS 31000 TOULOUSE","Eric Gautrand (gautrand)",physique,"Gérant",1,1998-07-01,
"SARL N.V.","SARL N.V.",478423643,"Mode/Vêtements","APT 15 4 RUE DE L'AUVERGNE 31100 TOULOUSE","Victoire Namsenom (bikindou)",physique,"Gérant",1,2004-07-26,
"SARL PALACE BEBE","SARL PALACE BEBE",450433602,"Mode/Vêtements","164 ROUTE DE REVEL 31400 TOULOUSE","",,"",1,2003-09-18,
"SARL PARIS SEPTIEME","SARL PARIS SEPTIEME",750521759,"Mode/Vêtements","13 RUE BOUQUIERES 31000 TOULOUSE","Emilie Carpentier (benard)",physique,"Liquidateur",1,2012-03-01,
"SARL ROSY BIS","SARL ROSY BIS",334342888,"Mode/Vêtements","9 RUE CLAUDE BOURGELAT 31100 TOULOUSE","Rose Dedieu",physique,"Gérant",2,1985-12-24,
"SARL SAUTRA","SARL SAUTRA",483537551,"Mode/Vêtements","28 RUE SAINT ANTOINE DU T 31000 TOULOUSE","",,"",3,2005-07-21,
"SARL TRIBECA VILLAGE","SARL TRIBECA VILLAGE",448067231,"Mode/Vêtements","18 RUE CUJAS 31000 TOULOUSE","Jean Biaggi",physique,"Gérant",1,2003-04-15,
"SARL TROPIQUE SUD","SARL TROPIQUE SUD",392540167,"Mode/Vêtements","7 RUE TEMPONIERES 31000 TOULOUSE","Lucien Chetrit",physique,"Gérant",4,1993-10-01,
"SARL YAOYI","SARL YAOYI",798798112,"Mode/Vêtements","38 RUE SAINT ROME 31000 TOULOUSE","Xiaoyi Pigal (wang)",physique,"Gérant",1,2013-11-01,
"SAS PRENEZ-PLACE","SAS PRENEZ-PLACE",831601521,"Mode/Vêtements","74 GRANDE-RUE SAINT MICHEL 31400 TOULOUSE","Hind Fouhami",physique,"Directeur Général",1,2017-09-15,
"SAS YOOK","SAS YOOK",510352446,"Mode/Vêtements","40 RUE SAINT ROME 31000 TOULOUSE","Yohan Cohen",physique,"Président de SAS",1,2009-02-02,
"SASU SHOW ROOM","SASU SHOW ROOM",824190946,"Mode/Vêtements","12 RUE DU TAUR 31000 TOULOUSE","Sabah Mechenguel (aibout)",physique,"Président de SAS",2,2016-09-30,
"SAVANE","SAVANE",801650979,"Mode/Vêtements","41 AVENUE DE LOMBEZ 31300 TOULOUSE","Joelle Grunfogel (melloul)",physique,"Gérant",1,2014-03-15,
"SAVE THE QUEEN","LA VILLA LORENZA",752995282,"Mode/Vêtements","3 RUE PAUL VIDAL 31000 TOULOUSE","Laurence Bricard",physique,"Gérant",1,2012-07-24,
"SB LAGON","SB LAGON",492608351,"Mode/Vêtements","19 RUE DES CHANGES 31000 TOULOUSE","Stephane Benhamou",physique,"Gérant",4,2006-11-06,
"SDQ 31","SDQ 31",910006550,"Mode/Vêtements","26 RUE SAINT ROME 31000 TOULOUSE","Chadli Hambli",physique,"Président de SAS",2,2022-02-01,
"SEPTEMBRE 55 TOULOUSE","SEPTEMBRE 55 TOULOUSE",984902536,"Mode/Vêtements","12 PL DES PUITS CLOS 31000 TOULOUSE","Nelly Riviere",physique,"Président de SAS",1,2024-02-14,
"SHILTON","MGM 81",483038006,"Mode/Vêtements","28 RUE DE LA POMME 31000 TOULOUSE","Michael Guedj",physique,"Gérant",1,2006-08-15,
"SHIRAZ","",938030574,"Mode/Vêtements","95 RUE ACHILLE VIADIEU 31400 TOULOUSE","Amal Nourine maamar",physique,"",1,2024-11-05,
"SHOWROOM 31 LUXURY SHOPPING","SHOWROOM 31",520284282,"Mode/Vêtements","109 AVENUE DE LESPINET 31400 TOULOUSE","",,"",2,2010-03-01,
"SIENNE","3 S D",428969711,"Mode/Vêtements","44-46 44 RUE DES TOURNEURS 31000 TOULOUSE","Simon Benlolo",physique,"Gérant",1,2000-01-24,
"SIENNE","5 SB FAMILY",538275561,"Mode/Vêtements","44-46 44 RUE DES TOURNEURS 31000 TOULOUSE","Stephanie Berdah (benlolo)",physique,"Liquidateur",1,2011-12-12,
"SIMPLEMENT BELLE","SIMPLEMENT BELLE",520281197,"Mode/Vêtements","54 RUE DE METZ 31000 TOULOUSE","",,"",1,2010-02-12,
"SIX ET MOI","",322651233,"Mode/Vêtements","22 RUE DU FOURBASTARD 31000 TOULOUSE","Joel Barrier",physique,"",3,1981-09-01,
"SO GLAM","BH",791534563,"Mode/Vêtements","16 RUE DES CHANGES 31000 TOULOUSE","Huu Bui",physique,"Gérant",1,2013-03-01,
"SOCIETE CENTRALE DE DISTRIBUTION TEXTILE (SCDT)","SOCIETE CENTRALE DE DISTRIBUTION TEXTILE",339737306,"Mode/Vêtements","61 RUE DE LA POMME 31000 TOULOUSE","Guy Guenoun",physique,"Gérant",1,1986-12-01,
"SOCIETE EVA CREATION ET DIFFUSION","SOCIETE EVA CREATION ET DIFFUSION",351313622,"Mode/Vêtements","18 RUE PEYROLIERES 31000 TOULOUSE","Victor Abenhaim",physique,"Administrateur provisoire",3,1989-06-22,
"SOCIETE LAKO","SOCIETE LAKO",310896709,"Mode/Vêtements","36 RUE DE LA POMME 31000 TOULOUSE","Bernard Kok",physique,"Gérant",1,1977-01-01,
"SOLITAIRE WORLD","SOLITAIRE WORLD",910717958,"Mode/Vêtements","2 QUAI LUCIEN LOMBARD 31000 TOULOUSE","Jevingston-laurent Losbar",physique,"Président de SAS",1,2022-02-14,
"SOPHIA","SOPHIA",487674608,"Mode/Vêtements","6 RUE BARONIE 31000 TOULOUSE","",,"",1,2005-12-22,
"SOPHIE SERRADELL","",453814493,"Mode/Vêtements","71 BOULEVARD PIERRE SEMARD 31500 TOULOUSE","Sophie Serradell",physique,"",1,2004-06-10,
"SORTILEGE","",448745604,"Mode/Vêtements","7 RUE BOULBONNE 31000 TOULOUSE","Marie Guilhem",physique,"",1,2003-04-03,
"SOUKEYNA DIOP","",931101067,"Mode/Vêtements","362 AVENUE DE FRONTON 31200 TOULOUSE","Soukeyna Diop",physique,"",1,2024-08-08,
"SOULERY","SOULERY",570802975,"Mode/Vêtements","10 RUE LAPEYROUSE 31000 TOULOUSE","Claire Alter (guigui)",physique,"Autre",1,1957-01-01,
"SOUMIA OUAHIAN","",984766279,"Mode/Vêtements","41 BOULEVARD DE THIBAUD 31100 TOULOUSE","Soumia Ouahian",physique,"",1,2024-03-15,
"SP ART DECO","SP ART DECO",914053616,"Mode/Vêtements","3 RUE RIVALS 31000 TOULOUSE","Enzo Pasturel",physique,"Gérant",1,2022-05-02,
"SPORT DISTRIBUTION ROUFFIAC (S.D.R.)","SPORT DISTRIBUTION ROUFFIAC",529213498,"Mode/Vêtements","11 PL ESQUIROL 31000 TOULOUSE","Benoît Barron",physique,"Gérant",2,2010-12-23,
"ST TROC","CALIEL",792682403,"Mode/Vêtements","2 RUE PAUL MERIEL 31000 TOULOUSE","Bernard Fechtig",physique,"Président de SAS",1,2013-04-22,
"STE EXPL CONCES GRANDE MARQUES (SEGMA)","STE EXPL CONCES GRANDE MARQUES",670802198,"Mode/Vêtements","9 PLACE ROGER SALENGRO 31000 TOULOUSE","Catherine Monferran (bedouk)",physique,"Président de SAS",1,1967-01-01,
"STEDIF","STEDIF",835196098,"Mode/Vêtements","46 RUE DES FILATIERS 31000 TOULOUSE","Stephanie Forgeront",physique,"Directeur Général",2,2018-08-28,
"STEFANEL","D.D.S.K.",492736772,"Mode/Vêtements","CENTRE COMMERCIAL SAINT GEORGES 51 RUE DU REMPART SAINT ETIENNE 31000 TOULOUSE","",,"",2,2006-11-08,
"STELLA LUNA","TTM",410303622,"Mode/Vêtements","2 PLACE OCCITANE 31000 TOULOUSE","Sandra Perin",physique,"Gérant",5,1996-12-20,
"STEPHEN'S STELL","VESTI TOULOUSE",511297590,"Mode/Vêtements","52 RUE D'ALSACE LORRAINE 31000 TOULOUSE","",,"",1,2009-04-01,
"STOCK COMPANY","STOCK COMPANY",510708274,"Mode/Vêtements","24 RUE SAINT ROME 31000 TOULOUSE","Hadda Ouikou",physique,"Gérant",1,2009-02-20,
"STOCK DIFFUSION SPORTWEAR","STOCK DIFFUSION SPORTWEAR",324814367,"Mode/Vêtements","231 AVENUE ANTOINE DE SAINT EXUPERY 31400 TOULOUSE","Beatrice Oggero",physique,"Gérant",1,1982-05-18,
"STRADIVARIUS","STRADIVARIUS ESPANA",424621118,"Mode/Vêtements","33 & 31 RUE DES CHANGES 31000 TOULOUSE","",,"",1,1999-11-05,
"STREET SHOP","STREET SHOP",530490101,"Mode/Vêtements","25 RUE PARGAMINIERES 31000 TOULOUSE","",,"",2,2011-03-01,
"STRETTO","STRETTO",429052616,"Mode/Vêtements","11 RUE ANTONIN MERCIE 31000 TOULOUSE","",,"",2,2000-01-11,
"STRETTO FEMMES","STRETTO 2",489099770,"Mode/Vêtements","7 RUE CROIX BARAGNON 31000 TOULOUSE","",,"",1,2006-03-01,
"SUDICO","SUDICO",378323034,"Mode/Vêtements","52 RUE LEON GAMBETTA 31000 TOULOUSE","Michel Marbot",physique,"Gérant",4,1990-05-25,
"SUNDFLOWWWER","",948679832,"Mode/Vêtements","APT B3 11 CHEMIN DU LAPIN 31200 TOULOUSE","Antoine Latour (latour)",physique,"",1,2023-02-03,
"SUPER33STORE","SUPER33STORE",791020936,"Mode/Vêtements","49 RUE D'ALSACE LORRAINE 31000 TOULOUSE","Caroline Tobelaim",physique,"Gérant",2,2013-01-01,
"SUPERDRY","SUPERHALLSTORE",820890077,"Mode/Vêtements","38 RUE D'ALSACE LORRAINE 31000 TOULOUSE","Caroline Tobelaim",physique,"Président de SAS",1,2016-05-27,
"SURPLUS HECTOR","HP-C",401633409,"Mode/Vêtements","17 RUE DE LA BOURSE 31000 TOULOUSE","Pascal Bertrou",physique,"Gérant",1,1995-07-01,
"SUZON","SUZON",979722931,"Mode/Vêtements","80 ROUTE DE NARBONNE 31400 TOULOUSE","Maéva Brunet",physique,"Gérant",2,2023-09-14,
"SWAN","SWAN",512943572,"Mode/Vêtements","32 RUE DES LOIS 31000 TOULOUSE","Hasnia Secraoui (draou)",physique,"Liquidateur",1,2009-07-09,
"SYBARITE VINTAGE","SYBARITE VINTAGE",887707750,"Mode/Vêtements","15 RUE SAINTE URSULE 31000 TOULOUSE","Even Soliveres",physique,"Gérant",1,2020-07-22,
"T ET C","",491678397,"Mode/Vêtements","54 RUE LEON GAMBETTA 31000 TOULOUSE","Ruiwei Tan",physique,"",1,2006-12-09,
"T.B ALTERNATIVE","T.B ALTERNATIVE",898987607,"Mode/Vêtements","9 RUE DES PUITS CLOS 31000 TOULOUSE","E.T ALTERNATIVE",morale,"Président de SAS",1,2021-04-13,387981079
"T.CORNER","BENE BIS",494635436,"Mode/Vêtements","20 RUE SAINT ANTOINE DU T 31000 TOULOUSE","Benedicte Boures",physique,"Gérant",1,2007-03-01,
"TAIEB BELMAAZIZ","",393018460,"Mode/Vêtements","6 RUE DES TROIS PILIERS 31000 TOULOUSE","Taieb Belmaaziz",physique,"",1,1993-12-01,
"TANIA TODOROVA","TANIA TODOROVA",921263497,"Mode/Vêtements","173 AVENUE JEAN CHAUBET 31500 TOULOUSE","Tania Todorov",physique,"Président de SAS",1,2022-11-09,
"TAPE-A-L'OEIL","SARL MORRO",820953792,"Mode/Vêtements","33 RUE PAUL GAUGUIN 31100 TOULOUSE","Patrick Manceau",physique,"Gérant",1,2016-06-14,
"TAPE-A-L'OEIL","SARL COMBUCO",824212203,"Mode/Vêtements","33 RUE PAUL GAUGUIN 31100 TOULOUSE","Patrick Manceau",physique,"Gérant",1,2016-12-08,
"TEAM CHISTOLE","TEAM CHISTOLE",481021715,"Mode/Vêtements","36 RUE JULES VERNE 31200 TOULOUSE","",,"",2,2005-02-22,
"TEENFACTORY","J.V.S",429441306,"Mode/Vêtements","CTRE CCIAL LE CLOS JACQUIN RUE DU GENERAL GIRAUD 31200 TOULOUSE","",,"",1,2000-02-07,
"TENDANCES LINGERIE","LA COLOMBELLE",851831982,"Mode/Vêtements","40 RUE DE LA COLOMBETTE 31000 TOULOUSE","Johan Bouysse",physique,"Président de SAS",1,2019-07-15,
"TEXANNE","",333852895,"Mode/Vêtements","15 AVENUE ETIENNE BILLIERES 31300 TOULOUSE","Astrid Hivert",physique,"",1,1985-10-02,
"TEXTILE CONCEPT","TEXTILE CONCEPT",808528947,"Mode/Vêtements","HELIOS 2, BOITE AUX LETTRES 215 116 ROUTE D'ESPAGNE 31100 TOULOUSE","Arnaud Capelle",physique,"Président de SAS",1,2014-12-16,
"THE NORTH FACE TOULOUSE","TNF TOULOUSE",814222881,"Mode/Vêtements","52 RUE DES TOURNEURS 31000 TOULOUSE","Guillaume Huguet",physique,"Gérant",1,2015-10-17,
"THE PRETTY","LITTLE SUNSHINE",981376189,"Mode/Vêtements","C COM LES BOUTIQUES SAINT GEORGES 51 RUE DU REMPART SAINT ETIENNE 31000 TOULOUSE","Barta El janati (adil-abdouni)",physique,"Directeur Général",2,2023-11-03,
"THE SHOP","THE SHOP",751933243,"Mode/Vêtements","CENT.COMM. ESPACE GRAMONT - LOCAL N 22 2 CHEMIN DE GABARDIE 31200 TOULOUSE","Jean-francois Peccatte",physique,"Président de SAS",1,2012-05-29,
"THE STOCK COMPANY OUTLET","LGP",499024081,"Mode/Vêtements","ET 45 43 RUE DES FILATIERS 31000 TOULOUSE","",,"",1,2007-07-17,
"TOM PARMENTIER","",820599991,"Mode/Vêtements","122 AVENUE FREDERIC ESTEBE 31200 TOULOUSE","Tom Parmentier",physique,"",1,2016-06-01,
"TOVLI","TOVLI",751393331,"Mode/Vêtements","17 RUE DE LA POMME 31000 TOULOUSE","Robert Fellous",physique,"Gérant",2,2012-05-10,
"TRANS-SHIRT","TRANS-SHIRT",411604408,"Mode/Vêtements","10 RUE TEMPONIERES 31000 TOULOUSE","David Metout",physique,"Gérant",1,1997-03-01,
"TRANS-SHIRT","TRANS-SHIRT ATELIER TOULOUSE",981147358,"Mode/Vêtements","10 RUE TEMPONIERES 31000 TOULOUSE","Clara Boumedienne",physique,"Gérant",1,2023-11-02,
"TRENZADO JEANS","TRENZADO JEANS",497577650,"Mode/Vêtements","REPR PAR FAFFONT HUGUES 1 IMPASSE ALEXANDRE ANSALDI 31100 TOULOUSE","",,"",2,2006-08-01,
"TRESOR D'INAYA","",844868752,"Mode/Vêtements","161 CHEMIN DE LANUSSE 31200 TOULOUSE","Nadia Chenafa",physique,"",1,2018-12-06,
"TROISOEURS","TROISOEURS",829705763,"Mode/Vêtements","17 RUE ANDRE DELIEUX 31400 TOULOUSE","Franck Coibion",physique,"Gérant",1,2017-02-14,
"URBAN WEAR","URBAN WEAR",939563672,"Mode/Vêtements","12 RUE SAINT ROME 31000 TOULOUSE","Hichame Ayachi",physique,"Président de SAS",1,2025-01-10,
"URSULA","URSULA",478857220,"Mode/Vêtements","69 AVENUE ETIENNE BILLIERES 31300 TOULOUSE","Josiane Defend",physique,"Gérant",1,2004-09-22,
"V3J","V3J",384380614,"Mode/Vêtements","301 AVENUE DE GRANDE BRETAGNE 31300 TOULOUSE","James Nedjar",physique,"Gérant",2,1991-12-11,
"VALCAM 3","VALCAM 3",827548314,"Mode/Vêtements","ESPACE GRAMONT 2 CHEMIN DE GABARDIE 31200 TOULOUSE","Delphine Haristoy",physique,"Président de SAS",4,2017-01-25,
"VALERIE MASRI (DELECLUSE) (VERSION FEMININE)","",809281835,"Mode/Vêtements","36-54 - CCIAL CARREFOUR PURPAN 36 ROUTE DE BAYONNE 31300 TOULOUSE","Valerie Masri (delecluse)",physique,"",1,2015-02-01,
"VERA ABERGEL (PARIENTE)","",813461670,"Mode/Vêtements","9 RUE DES PENITENTS BLANCS 31000 TOULOUSE","Vera Abergel (pariente)",physique,"",1,2015-09-03,
"VERSO","VERSO",453313181,"Mode/Vêtements","16 RUE DE LA POMME 31000 TOULOUSE","Monique Baron (wambeck)",physique,"Liquidateur",3,2004-05-01,
"VESTIAIRE FEMININ","",999447253,"Mode/Vêtements","30 RUE DES PARADOUX 31000 TOULOUSE","Kellia Cassagnau",physique,"",1,2026-02-01,
"VGRETAIL","VGRETAIL",943818963,"Mode/Vêtements","26 RUE AGATHOISE 31000 TOULOUSE","Audrey Viguier",physique,"Président de SAS",2,2025-04-16,
"VICOMTE A","THIERS ALBERT",534109145,"Mode/Vêtements","4 RUE BOULBONNE 31000 TOULOUSE","Gregory Troch",physique,"Gérant",1,2011-08-02,
"VINTAGE PARADISE","VICO'S RAG",797408788,"Mode/Vêtements","2 RUE CUJAS 31000 TOULOUSE","Victor Abenhaim",physique,"Administrateur provisoire",2,2013-09-03,
"VIP SEC PRIVE","",439776139,"Mode/Vêtements","APPT 23 LES JARDINS DU TOUCH 2 RUE HENRI ZIEGLER 31300 TOULOUSE","Eric Mulalu kubanzila",physique,"",1,2001-10-19,
"VIRAGES","SR GERSON",344626130,"Mode/Vêtements","21 PLACE VICTOR HUGO 31000 TOULOUSE","Simon Gerson",physique,"Liquidateur",4,1988-04-05,
"VOLCOM","HUG",803745892,"Mode/Vêtements","1 PLACE DE LA BOURSE 31000 TOULOUSE","Nicolas Ullmann",physique,"Président de SAS",1,2014-07-28,
"W.N","W.N",438801730,"Mode/Vêtements","21 RUE SAINTE URSULE 31000 TOULOUSE","",,"",5,2001-08-03,
"WANTED","SASU WANTED",828530014,"Mode/Vêtements","52 RUE DU TAUR 31000 TOULOUSE","Sabah Mechenguel (aïbout)",physique,"Président de SAS",1,2016-09-30,
"Y STYLE","Y STYLE",808208169,"Mode/Vêtements","38 RUE SAINT ROME 31000 TOULOUSE","Zheng Wang",physique,"Gérant",1,2014-10-01,
"Y.MIND DRESS","Y.MIND DRESS",911476950,"Mode/Vêtements","BAL 422 HELIOPOLIS 110 ROUTE D'ESPAGNE 31100 TOULOUSE","Pierre Nomertin",physique,"Gérant",1,2022-02-17,
"Y&TCOM","",894701176,"Mode/Vêtements","BAT 2 HOYA 201 7 IMPASSE LILIANE DESGRAVES 31500 TOULOUSE","Tristane Dechesne",physique,"",1,2021-03-01,
"YELLOW BONHEUR","YELLOW BONHEUR",894878057,"Mode/Vêtements","39 RUE CHARLES BAUDELAIRE 31200 TOULOUSE","Christel Mascheroni",physique,"Président de SAS",1,2021-03-08,
"YLANG","YLANG",807490636,"Mode/Vêtements","17 RUE DES CHANGES 31000 TOULOUSE","Sue Wang (zhou)",physique,"Gérant",1,2014-10-23,
"YORUBA (VDEVINSTER)","YORUBA",480252931,"Mode/Vêtements","25 RUE CARAMAN 31000 TOULOUSE","Virginie De vinster (de vinster)",physique,"Président de SAS",1,2005-01-10,
"YUE WANG","",802666743,"Mode/Vêtements","17 RUE DU PROFESSEUR FRANSCISCO SANCHEZ 31100 TOULOUSE","Yue Wang",physique,"",1,2014-06-01,
"Z&JAS CREATION","Z&JAS CREATION",810062513,"Mode/Vêtements","203 AVENUE DES ETATS UNIS 31200 TOULOUSE","Sanaa Bendafi",physique,"Liquidateur",1,2015-03-07,
"ZAYANNE","",853400471,"Mode/Vêtements","APPARTEMENT 16 - BATIMENT C2 15 RUE DE LA CHARBONNIERE 31400 TOULOUSE","Chaima Mhamdi",physique,"",1,2019-07-12,
"ZAZIE","MISSTEX",498906098,"Mode/Vêtements","CTRE CCIAL GEANT BASSO CAMBO PLACE EDOUARD BOUILLIERE 31100 TOULOUSE","",,"",2,2007-07-02,
"ZEHRA EL OUASQI","",482968096,"Mode/Vêtements","18 A 20 18 RUE GATIEN ARNOULT 31000 TOULOUSE","Zehra El ouasqi",physique,"",1,2005-07-01,
"ZENSHOP","",407515329,"Mode/Vêtements","5 RUE BELLOC CITE 31500 TOULOUSE","Sonia Lecart",physique,"",1,1996-06-01,
"ZIZ STYLE","",514965649,"Mode/Vêtements","BAT C APT 3 64 RUE ERNEST RENAN 31200 TOULOUSE","Abdou Ndao",physique,"",1,2009-09-21,
"A.T. OPTIQUE","A.T. OPTIQUE",452470479,"Optique","19 AVENUE ETIENNE BILLIERES 31300 TOULOUSE","",,"",1,2004-02-19,
"AA2L OPTIC","AA2L OPTIC",943337733,"Optique","65 RUE D'ALSACE LORRAINE 31000 TOULOUSE","Lucas Berneuil",physique,"Directeur Général",1,2025-04-07,
